Country,Date,cum_cases,cum_deaths
Guinea,8/29/2014,648,430
Guinea,9/5/2014,812,517
Guinea,9/8/2014,862,555
Guinea,9/12/2014,861,557
Guinea,9/16/2014,936,595
Guinea,9/18/2014,942,601
Guinea,9/22/2014,1008,632
Guinea,9/24/2014,1022,635
Guinea,9/26/2014,1074,648
Guinea,10/1/2014,1157,710
Guinea,10/3/2014,1199,739
Guinea,10/8/2014,1298,768
Guinea,10/10/2014,1350,778
Guinea,10/15/2014,1472,843
Guinea,10/17/2014,1519,862
Guinea,10/22/2014,1540,904
Guinea,10/25/2014,1553,926
Guinea,10/29/2014,1906,997
Guinea,10/31/2014,1667,1018
Guinea,11/5/2014,1731,1041
Guinea,11/7/2014,1760,1054
Guinea,11/12/2014,1878,1142
Guinea,11/14/2014,1919,1166
Guinea,11/19/2014,1971,1192
Guinea,11/21/2014,2047,1214
Guinea,11/26/2014,2134,1260
Guinea,12/1/2014,2155,1312
Guinea,12/3/2014,2164,1327
Guinea,12/10/2014,2292,1428
Guinea,12/15/2014,2394,1518
Guinea,12/17/2014,2416,1525
Guinea,12/22/2014,2571,1586
Guinea,12/23/2014,2597,1607
Guinea,12/24/2014,2597,1607
Guinea,12/26/2014,2630,1654
Guinea,12/29/2014,2695,1697
Guinea,12/30/2014,2706,1708
Guinea,12/31/2014,2707,1709
Guinea,1/2/2015,2730,1739
Guinea,1/5/2015,2769,1767
Guinea,1/6/2015,2775,1781
Guinea,1/7/2015,2775,1781
Guinea,1/8/2015,2776,1786
Guinea,1/9/2015,2793,1797
Guinea,1/12/2015,2799,1807
Guinea,1/13/2015,2799,1807
Guinea,1/14/2015,2806,1814
Guinea,1/15/2015,2817,1821
Guinea,1/16/2015,2825,1829
Guinea,1/19/2015,2873,1875
Guinea,1/20/2015,2871,1876
Guinea,1/21/2015,2871,1876
Guinea,1/22/2015,2873,1879
Guinea,1/23/2015,2873,1880
Guinea,1/26/2015,2909,1906
Guinea,1/27/2015,2917,1910
Guinea,1/28/2015,2917,1910
Guinea,1/29/2015,2921,1911
Guinea,1/30/2015,2920,1913
Guinea,2/2/2015,2959,1937
Guinea,2/3/2015,2975,1944
Guinea,2/4/2015,2975,1944
Guinea,2/5/2015,2986,1947
Guinea,2/6/2015,2988,1957
Guinea,2/10/2015,3044,1995
Guinea,2/11/2015,3044,1995
Guinea,2/12/2015,3068,2018
Guinea,2/13/2015,3081,2032
Guinea,2/16/2015,3101,2052
Guinea,2/17/2015,3108,2057
Guinea,2/18/2015,3108,2057
Guinea,2/19/2015,3115,2067
Guinea,2/20/2015,3120,2072
Guinea,2/23/2015,3155,2086
Guinea,2/25/2015,3155,2091
Guinea,2/26/2015,3175,2101
Guinea,2/27/2015,3190,2113
Guinea,3/2/2015,3205,2127
Guinea,3/4/2015,3205,2127
Guinea,3/5/2015,3237,2141
Guinea,3/6/2015,3248,2147
Guinea,3/10/2015,3285,2170
Guinea,3/11/2015,3285,2170
Guinea,3/12/2015,3330,2187
Guinea,3/13/2015,3331,2192
Guinea,3/16/2015,3373,2216
Guinea,3/17/2015,3389,2224
Guinea,3/18/2015,3389,2224
Guinea,3/20/2015,3404,2241
Guinea,3/23/2015,3420,2261
Guinea,3/24/2015,3429,2263
Guinea,3/25/2015,3429,2263
Guinea,3/26/2015,3459,2273
Guinea,3/27/2015,3466,2276
Guinea,4/7/2015,3515,2333
Guinea,4/9/2015,3515,2335
Guinea,4/13/2015,3541,2342
Guinea,4/14/2015,3548,2346
Guinea,4/15/2015,3548,2346
Guinea,4/16/2015,3566,2348
Guinea,4/17/2015,3569,2351
Guinea,4/20/2015,3565,2357
Guinea,4/21/2015,3565,2358
Guinea,4/22/2015,3565,2358
Guinea,4/23/2015,3568,2362
Guinea,4/24/2015,3576,2365
Guinea,4/27/2015,3585,2374
Guinea,4/28/2015,3584,2377
Guinea,4/30/2015,3581,2381
Guinea,5/1/2015,3578,2383
Guinea,5/4/2015,3591,2385
Guinea,5/5/2015,3589,2386
Guinea,5/6/2015,3589,2386
Guinea,5/7/2015,3592,2387
Guinea,5/8/2015,3592,2387
Guinea,5/11/2015,3599,2391
Guinea,5/12/2015,3597,2392
Guinea,5/13/2015,3599,2391
Guinea,5/14/2015,3615,2399
Guinea,5/15/2015,3619,2401
Guinea,5/18/2015,3626,2405
Guinea,5/19/2015,3635,2407
Guinea,5/20/2015,3635,2407
Guinea,5/21/2015,3649,2409
Guinea,5/22/2015,3647,2412
Guinea,5/25/2015,3640,2418
