Country,Date,cum_cases,cum_deaths
Liberia,8/29/2014,1378,694
Liberia,9/5/2014,1871,1089
Liberia,9/8/2014,2046,1224
Liberia,9/12/2014,2081,1137
Liberia,9/16/2014,2407,1296
Liberia,9/18/2014,2710,1459
Liberia,9/22/2014,3022,1578
Liberia,9/24/2014,3280,1677
Liberia,9/26/2014,3458,1830
Liberia,10/1/2014,3696,1998
Liberia,10/3/2014,3834,2069
Liberia,10/8/2014,3924,2210
Liberia,10/10/2014,4076,2316
Liberia,10/15/2014,4249,2458
Liberia,10/17/2014,4262,2484
Liberia,10/22/2014,4665,2705
Liberia,10/25/2014,4665,2705
Liberia,10/29/2014,6535,2413
Liberia,10/31/2014,6535,2413
Liberia,11/5/2014,6525,2697
Liberia,11/7/2014,6619,2766
Liberia,11/12/2014,6822,2836
Liberia,11/14/2014,6878,2812
Liberia,11/19/2014,7069,2964
Liberia,11/21/2014,7082,2963
Liberia,11/26/2014,7168,3016
Liberia,12/1/2014,7635,3145
Liberia,12/3/2014,7635,3145
Liberia,12/10/2014,7719,3177
Liberia,12/15/2014,7797,3290
Liberia,12/17/2014,7797,3290
Liberia,12/22/2014,7830,3376
Liberia,12/23/2014,7830,3376
Liberia,12/24/2014,7862,3384
Liberia,12/26/2014,7862,3384
Liberia,12/29/2014,7977,3413
Liberia,12/30/2014,7977,3413
Liberia,12/31/2014,8018,3423
Liberia,1/2/2015,8018,3423
Liberia,1/5/2015,8115,3471
Liberia,1/6/2015,8157,3496
Liberia,1/7/2015,8157,3496
Liberia,1/8/2015,8166,3496
Liberia,1/9/2015,8263,3515
Liberia,1/12/2015,8278,3515
Liberia,1/13/2015,8278,3515
Liberia,1/14/2015,8331,3538
Liberia,1/15/2015,8362,3556
Liberia,1/16/2015,8362,3556
Liberia,1/19/2015,8435,3587
Liberia,1/20/2015,8478,3605
Liberia,1/21/2015,8478,3605
Liberia,1/22/2015,8524,3636
Liberia,1/23/2015,8524,3636
Liberia,1/26/2015,8524,3636
Liberia,1/27/2015,8622,3686
Liberia,1/28/2015,8622,3686
Liberia,1/29/2015,8643,3700
Liberia,1/30/2015,8643,3700
Liberia,2/2/2015,8668,3710
Liberia,2/3/2015,8729,3739
Liberia,2/4/2015,8745,3746
Liberia,2/5/2015,8745,3746
Liberia,2/6/2015,8745,3746
Liberia,2/10/2015,8881,3826
Liberia,2/11/2015,8881,3826
Liberia,2/12/2015,8881,3826
Liberia,2/13/2015,8931,3858
Liberia,2/16/2015,9007,3900
Liberia,2/17/2015,9007,3900
Liberia,2/18/2015,9007,3900
Liberia,2/19/2015,9096,3947
Liberia,2/20/2015,9096,3947
Liberia,2/23/2015,9229,4032
Liberia,2/25/2015,9238,4037
Liberia,2/26/2015,9265,4057
Liberia,2/27/2015,9265,4057
Liberia,3/2/2015,9265,4057
Liberia,3/4/2015,9265,4057
Liberia,3/5/2015,9249,4117
Liberia,3/6/2015,9249,4117
Liberia,3/10/2015,9343,4162
Liberia,3/11/2015,9343,4162
Liberia,3/12/2015,9343,4162
Liberia,3/13/2015,9482,4241
Liberia,3/16/2015,9482,4241
Liberia,3/17/2015,9526,4264
Liberia,3/18/2015,9526,4264
Liberia,3/20/2015,9555,4283
Liberia,3/23/2015,9593,4296
Liberia,3/24/2015,9602,4301
Liberia,3/25/2015,9602,4301
Liberia,3/26/2015,9602,4301
Liberia,3/27/2015,9602,4301
Liberia,4/7/2015,9862,4408
Liberia,4/9/2015,9862,4408
Liberia,4/13/2015,9862,4408
Liberia,4/14/2015,9862,4408
Liberia,4/15/2015,10042,4486
Liberia,4/16/2015,10042,4486
Liberia,4/17/2015,10042,4486
Liberia,4/20/2015,10042,4486
Liberia,4/21/2015,10042,4486
Liberia,4/22/2015,10212,4573
Liberia,4/23/2015,10212,4573
Liberia,4/24/2015,10212,4573
Liberia,4/27/2015,10212,4573
Liberia,4/28/2015,10322,4608
Liberia,4/30/2015,10322,4608
Liberia,5/1/2015,10322,4608
Liberia,5/4/2015,10322,4608
Liberia,5/5/2015,10507,4691
Liberia,5/6/2015,10564,4716
Liberia,5/7/2015,10564,4716
Liberia,5/8/2015,10564,4716
Liberia,5/11/2015,10604,4769
Liberia,5/12/2015,10604,4769
Liberia,5/13/2015,10604,4769
Liberia,5/14/2015,10604,4769
Liberia,5/15/2015,10604,4769
Liberia,5/18/2015,10666,4806
