Country,Date,cum_cases,cum_deaths
Sierra Leone,8/29/2014,1026,422
Sierra Leone,9/5/2014,1261,491
Sierra Leone,9/8/2014,1361,509
Sierra Leone,9/12/2014,1424,524
Sierra Leone,9/16/2014,1620,562
Sierra Leone,9/18/2014,1673,562
Sierra Leone,9/22/2014,1813,593
Sierra Leone,9/24/2014,1940,597
Sierra Leone,9/26/2014,2021,605
Sierra Leone,10/1/2014,2304,622
Sierra Leone,10/3/2014,2437,623
Sierra Leone,10/8/2014,2789,879
Sierra Leone,10/10/2014,2950,930
Sierra Leone,10/15/2014,3252,1183
Sierra Leone,10/17/2014,3410,1200
Sierra Leone,10/22/2014,3706,1259
Sierra Leone,10/25/2014,3896,1281
Sierra Leone,10/29/2014,5235,1500
Sierra Leone,10/31/2014,5338,1510
Sierra Leone,11/5/2014,4759,1070
Sierra Leone,11/7/2014,4862,1130
Sierra Leone,11/12/2014,5368,1169
Sierra Leone,11/14/2014,5586,1187
Sierra Leone,11/19/2014,6073,1250
Sierra Leone,11/21/2014,6190,1267
Sierra Leone,11/26/2014,6599,1398
Sierra Leone,12/1/2014,7109,1530
Sierra Leone,12/3/2014,7312,1583
Sierra Leone,12/10/2014,7897,1768
Sierra Leone,12/15/2014,8273,2033
Sierra Leone,12/17/2014,8356,2085
Sierra Leone,12/22/2014,8939,2556
Sierra Leone,12/23/2014,9004,2582
Sierra Leone,12/24/2014,9004,2582
Sierra Leone,12/26/2014,9203,2655
Sierra Leone,12/29/2014,9409,2732
Sierra Leone,12/30/2014,9446,2758
Sierra Leone,12/31/2014,9446,2758
Sierra Leone,1/2/2015,9633,2827
Sierra Leone,1/5/2015,9772,2915
Sierra Leone,1/6/2015,9780,2943
Sierra Leone,1/7/2015,9780,2943
Sierra Leone,1/8/2015,10030,2977
Sierra Leone,1/9/2015,10030,2977
Sierra Leone,1/12/2015,10094,3049
Sierra Leone,1/13/2015,10094,3049
Sierra Leone,1/14/2015,10124,3062
Sierra Leone,1/15/2015,10150,3067
Sierra Leone,1/16/2015,10186,3083
Sierra Leone,1/19/2015,10306,3132
Sierra Leone,1/20/2015,10340,3145
Sierra Leone,1/21/2015,10340,3145
Sierra Leone,1/22/2015,10362,3153
Sierra Leone,1/23/2015,10400,3159
Sierra Leone,1/26/2015,10491,3195
Sierra Leone,1/27/2015,10518,3199
Sierra Leone,1/28/2015,10518,3199
Sierra Leone,1/29/2015,10537,3207
Sierra Leone,1/30/2015,10561,3216
Sierra Leone,2/2/2015,10707,3274
Sierra Leone,2/3/2015,10740,3276
Sierra Leone,2/4/2015,10740,3276
Sierra Leone,2/5/2015,10756,3286
Sierra Leone,2/6/2015,10792,3301
Sierra Leone,2/10/2015,10934,3341
Sierra Leone,2/11/2015,10934,3341
Sierra Leone,2/12/2015,10954,3350
Sierra Leone,2/13/2015,10987,3363
Sierra Leone,2/16/2015,11074,3401
Sierra Leone,2/17/2015,11103,3408
Sierra Leone,2/18/2015,11103,3408
Sierra Leone,2/19/2015,11155,3423
Sierra Leone,2/20/2015,11155,3423
Sierra Leone,2/23/2015,11155,3423
Sierra Leone,2/25/2015,11301,3461
Sierra Leone,2/26/2015,11341,3479
Sierra Leone,2/27/2015,11370,3490
Sierra Leone,3/2/2015,11443,3530
Sierra Leone,3/4/2015,11443,3530
Sierra Leone,3/5/2015,11497,3565
Sierra Leone,3/6/2015,11517,3576
Sierra Leone,3/10/2015,11619,3629
Sierra Leone,3/11/2015,11619,3629
Sierra Leone,3/12/2015,11677,3655
Sierra Leone,3/13/2015,11696,3663
Sierra Leone,3/16/2015,11742,3687
Sierra Leone,3/17/2015,11751,3691
Sierra Leone,3/18/2015,11751,3691
Sierra Leone,3/20/2015,11794,3712
Sierra Leone,3/23/2015,11829,3742
Sierra Leone,3/24/2015,11841,3747
Sierra Leone,3/25/2015,11841,3747
Sierra Leone,3/26/2015,11866,3764
Sierra Leone,3/27/2015,11889,3773
Sierra Leone,4/7/2015,12139,3832
Sierra Leone,4/9/2015,12155,3841
Sierra Leone,4/13/2015,12188,3854
Sierra Leone,4/14/2015,12201,3857
Sierra Leone,4/15/2015,12201,3857
Sierra Leone,4/16/2015,12223,3865
Sierra Leone,4/17/2015,12244,3865
Sierra Leone,4/20/2015,12256,3872
Sierra Leone,4/21/2015,12265,3877
Sierra Leone,4/22/2015,12267,3877
Sierra Leone,4/23/2015,12294,3885
Sierra Leone,4/24/2015,12313,3886
Sierra Leone,4/27/2015,12362,3895
Sierra Leone,4/28/2015,12371,3899
Sierra Leone,4/30/2015,12387,3901
Sierra Leone,5/1/2015,12398,3901
Sierra Leone,5/4/2015,12426,3902
Sierra Leone,5/5/2015,12440,3903
Sierra Leone,5/6/2015,12440,3903
Sierra Leone,5/7/2015,12470,3904
Sierra Leone,5/8/2015,12492,3904
Sierra Leone,5/11/2015,12519,3904
Sierra Leone,5/12/2015,12523,3904
